m/z,20201003-ZJ-POS-MSE-AF1,20201003-ZJ-POS-MSE-AF2,20201003-ZJ-POS-MSE-AF3,20201003-ZJ-POS-MSE-AF4,20201003-ZJ-POS-MSE-AF5,20201003-ZJ-POS-MSE-AF6,20201003-ZJ-POS-MSE-AF7,20201003-ZJ-POS-MSE-AF8,20201003-ZJ-POS-MSE-AF9,20201003-ZJ-POS-MSE-AF10,20201003-ZJ-POS-MSE-AF11,20201003-ZJ-POS-MSE-AF12,20201003-ZJ-POS-MSE-AF13,20201003-ZJ-POS-MSE-AF14,20201003-ZJ-POS-MSE-AF15,20201003-ZJ-POS-MSE-F1,20201003-ZJ-POS-MSE-F2,20201003-ZJ-POS-MSE-F3,20201003-ZJ-POS-MSE-F4,20201003-ZJ-POS-MSE-F5,20201003-ZJ-POS-MSE-F6,20201003-ZJ-POS-MSE-F7,20201003-ZJ-POS-MSE-F8,20201003-ZJ-POS-MSE-F9,20201003-ZJ-POS-MSE-F10,20201003-ZJ-POS-MSE-F11,20201003-ZJ-POS-MSE-F12,20201003-ZJ-POS-MSE-F13,20201003-ZJ-POS-MSE-F14,20201003-ZJ-POS-MSE-F15,20201003-ZJ-POS-MSE-T1,20201003-ZJ-POS-MSE-T2,20201003-ZJ-POS-MSE-T3,20201003-ZJ-POS-MSE-T4,20201003-ZJ-POS-MSE-T5,20201003-ZJ-POS-MSE-T6,20201003-ZJ-POS-MSE-T7,20201003-ZJ-POS-MSE-T8,20201003-ZJ-POS-MSE-T9,20201003-ZJ-POS-MSE-T10,20201003-ZJ-POS-MSE-T11,20201003-ZJ-POS-MSE-T12,20201003-ZJ-POS-MSE-T13,20201003-ZJ-POS-MSE-T14,20201003-ZJ-POS-MSE-T15
1622.300926,47731.96009,45863.28313,54710.10583,50717.7011,42199.4458,38083.57348,158246.3029,49443.53977,22704.36421,46779.2237,88254.62908,44710.82464,43103.60844,40515.52904,39642.10823,44338.65953,39648.47456,30100.596,109494.4031,195722.5702,6184.269073,79743.06066,19883.33706,32455.86548,76278.95269,87524.20674,57365.87735,20564.71723,33912.4641,15092.03749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1643.284436,62854.09353,86338.12319,96316.24285,87294.55879,97347.60347,76290.19306,20567.88168,104687.0077,17144.80167,91028.40805,10894.25156,89964.59397,63195.86425,69622.39433,86064.09801,50264.35035,67443.88688,47711.73962,5744.360634,14004.10149,707.607601,2341.330585,6214.842274,49165.08128,58323.57624,81905.67494,65703.68202,17159.24363,33105.6354,63102.43346,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1638.294137,10940.89528,12809.78108,16228.174,12836.10322,10611.09699,11585.48012,167867.6709,13756.02289,78370.58644,13259.73376,91196.86168,10774.65346,7742.416138,8959.777475,9472.07712,10969.42795,10323.31146,9482.919603,147550.7427,172416.6032,18678.95071,153844.2669,20601.03061,6215.960527,49409.80525,16049.35453,11898.29344,15720.99627,12383.36138,10333.31162,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1784.348175,77419.39399,74787.24035,80529.27385,84522.26485,95827.28005,91459.37125,13403.18069,98033.5493,5735.735864,73714.04608,6778.468422,73423.70653,64875.07998,84581.31548,72030.04341,85704.29526,69086.21467,48766.77991,1399.717911,4551.145507,156.5625615,622.5387127,4935.164574,68386.35906,53403.1525,109098.3358,114408.5244,21418.39761,33038.47225,6257.278421,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2378.909402,61145.11198,71665.59494,75455.28242,73186.14654,77459.75503,71065.33271,43080.68191,86181.25623,54636.12387,68427.02397,23084.62431,65161.51636,58430.55988,71415.16578,67124.70119,79617.56626,65310.09893,49383.45656,21492.65899,18690.59718,4403.097286,11909.55971,53798.21301,60386.40538,71826.53389,89159.27798,87315.15988,84079.32793,44268.94605,58278.75322,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1786.379182,46795.72599,49086.34238,52794.62974,54338.66417,51157.94856,59079.9841,114628.4602,64365.29578,49806.20226,59811.34373,67013.09381,55104.29191,37435.2056,37763.6545,41328.42189,59349.09314,48993.92719,39980.81257,37030.28545,103857.8397,12883.68551,45864.59859,32128.04209,38775.6353,68619.51753,72580.40883,69183.36698,41991.68223,44517.78172,26422.00142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1153.387806,1239.154584,10461.87417,2045.819944,1091.522949,803.7810395,406.3884275,257.5895194,4716.762801,248.026891,47674.9234,379.3286131,1330.61839,3895.7901,1028.192139,1788.035837,6217.062218,3817.112516,19389.23435,136420.262,3590.512855,36121.52923,186198.453,42865.32946,2698.210243,24376.70357,1241.485239,5931.958116,499.7031679,29995.00942,1842.664775,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1679.32204,36738.39192,53654.83242,67686.57564,56801.81617,57362.13909,52404.88637,32272.4807,65686.20084,139420.8125,56778.69428,24203.08282,51148.80381,38736.8968,44885.36318,47531.0395,38020.50168,38286.23444,29950.87689,44561.94391,22883.35783,2413.177776,2174.749534,39491.16717,25866.70536,33005.04947,44339.95799,48040.73644,45794.70338,24993.41683,67035.44712,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1950.446582,67134.66307,59764.42383,62985.69499,65016.56083,64187.06962,62041.44402,64951.17634,69618.45711,12384.23359,70044.66798,25808.5139,57748.76444,54661.89902,55770.39005,55397.81799,99388.12968,68557.15413,46948.61746,8385.979338,26396.80176,2943.253316,6916.185353,14953.99833,68720.48886,58755.14733,114122.1432,104982.1642,23891.71411,46099.84056,17118.28987,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2157.673598,55311.01321,57941.43994,63667.44441,63708.46432,64673.99214,64738.44433,40509.14157,71970.85776,32931.13647,60206.96411,26822.77614,63017.76136,48829.50954,54407.34663,55277.66848,43878.26231,50336.15129,45344.94383,4272.381555,26469.72486,9807.376164,29929.51808,10775.17706,40387.30117,60992.87506,62058.84674,52230.91433,41199.1859,40618.13064,41168.17585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2047.976274,45939.29977,50742.72901,56358.2526,52630.77079,49617.25606,53272.22046,71332.11411,56212.69609,42918.34873,54490.73935,42226.76834,49483.96602,41443.25815,44141.7678,42755.59974,56791.37016,48126.03537,37811.77132,6206.760433,52817.42808,7706.114756,21686.19853,56733.54042,41406.98562,58012.55928,69739.45798,60402.65536,33730.34483,37536.37558,32911.611,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1941.26879,42107.91447,45346.52246,56079.59805,53081.62393,54760.71166,52207.82793,55773.24237,62295.8984,32172.33507,50019.68493,37284.94002,53147.91605,39122.8865,43599.73429,47143.89927,38429.82856,41533.31813,36530.15345,1745.913706,48058.3041,3333.621253,61620.17465,2863.859527,29431.36132,51704.23802,46748.07139,37684.40397,38648.33909,37091.01815,20240.87195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
